total_M,r,pvalue,total_F,r,pvalue,SNV_M,r,pvalue,SNV_F,r,pvalue,Indel_M,r,pvalue,Indel_F,r,pvalue
La_TP53,0.192329333,0.308575629,La_TP53,0.198515601,0.401456749,La_TP53_snv,0.129741477,0.494401629,La_TP53_snv,-0.158802787,0.503672414,La_TP53_indel,-0.031315426,0.864899762,La_TP53_indel,0.409123196,0.065534809
La_KRAS,-0.228321897,0.216681943,La_KRAS,-0.221564684,0.334427785,La_KRAS_snv,-0.228321897,0.216681943,La_KRAS_snv,-0.221564684,0.334427785,La_KRAS_indel,NA,NA,La_KRAS_indel,NA,NA
La_EGFR,-0.034505469,0.853795379,La_EGFR,0.28061292,0.244548924,La_EGFR_snv,-0.143462276,0.441338371,La_EGFR_snv,0.20979858,0.388654425,La_EGFR_indel,0.064095343,0.727456313,La_EGFR_indel,-0.078546169,0.73504165
La_APC,-0.123927879,0.506553374,La_APC,0.110782342,0.632608636,La_APC_snv,-0.140325986,0.443662323,La_APC_snv,NA,NA,La_APC_indel,-0.047330153,0.800395407,La_APC_indel,0.110782342,0.632608636
La_ARID1B,-0.155927637,0.410615216,La_ARID1B,-0.096225503,0.69515165,La_ARID1B_snv,0.020412415,0.913208645,La_ARID1B_snv,-0.218821537,0.353983338,La_ARID1B_indel,-0.174351363,0.356805593,La_ARID1B_indel,-0.039580895,0.872189063
La_KMT2D,-0.06414719,0.736293014,La_KMT2D,0.308057875,0.199453255,La_KMT2D_snv,-0.124005,0.506286828,La_KMT2D_snv,NA,NA,La_KMT2D_indel,-0.067773887,0.72195363,La_KMT2D_indel,0.308057875,0.199453255
La_MED12,-0.118728382,0.532045696,La_MED12,0.465086256,0.038800513,La_MED12_snv,-0.009726172,0.957866018,La_MED12_snv,-0.142701214,0.537190192,La_MED12_indel,-0.118728382,0.532045696,La_MED12_indel,0.543196078,0.013318058
La_ZFHX3,-0.433280525,0.014897312,La_ZFHX3,0.234224873,0.32024457,La_ZFHX3_snv,-0.184797276,0.311282316,La_ZFHX3_snv,0.036927447,0.873736353,La_ZFHX3_indel,-0.428685821,0.016119022,La_ZFHX3_indel,0.249500408,0.28875938
La_FBXW7,-0.233516783,0.198343742,La_FBXW7,0.112948266,0.625928878,La_FBXW7_snv,-0.145892586,0.425605156,La_FBXW7_snv,-0.184637236,0.422999465,La_FBXW7_indel,-0.1763165,0.334391964,La_FBXW7_indel,0.165553568,0.473263743
La_FANCM,-0.196812262,0.288600829,La_FANCM,0.026302903,0.909893119,La_FANCM_snv,-0.172844686,0.352456111,La_FANCM_snv,-0.231889472,0.311798742,La_FANCM_indel,-0.058456547,0.754763561,La_FANCM_indel,0.155540484,0.500790582
